rule_id,unit,surface_form,text,marks_genuine_nk
morph.syn.embedded_question,commit:ee4b88339c3f43cc147b3f51f5f8f7d630a716a8:commit_message,If,"(EZ-97) Kill background Java process if start script terminated

This commit will trap HUP, INT, and TERM signals sent to the start
script.  If any is trapped, the associated Java process that the start
script spawned will be terminated.  This is done so that if a 'restart'
is issued while a start is already in process, the Java process for the
first start attempt will be cleaned up before the sec",
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:27:comment_body:8,where,"It's not required. But in case my hack here doesn't catch the java bin, or we are on a platform where we don't have an explicit java version, we end up with /usr/bin/java and that works for 80% of the situations.",
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:42:comment_body:3,if,I gave this a quick local test and it's working fine. However I have no time right now to kick of the acceptance tests with that. It would be great if a few people could test this and provide feedback.,
morph.syn.embedded_question,commit:8adc15af6e50decce3b42a81c52a5872321ef82a:commit_message,which,"(PE-6748) Update trapperkeeper-webserver-jetty9 dependency for pe-console-services

Bump to 0.9.0 of tk-w-j9 which has a fix for the poodle sslv3 security issue.",
morph.syn.embedded_question,commit:08d0efec4e93960c67e434ce27278b69af8da51d:commit_message,how,"Fix some version strings for compatibility

The packaging tools were making some regex-y assumptions
about how we'd format our version strings.  My previous
stuff for SNAPSHOT versions did not comply with these
assumptions; this commit should hopefully fix that.",
morph.syn.embedded_question,commit:5272ca4f2b5cc3897ec376b8db1bf23b4244acc7:commit_message,whether,"(EZ-15) Replace hard-coded path names.

This commit has a number of effects, including:

* Remove hard-coded path names in favor of functions that take path fragements
  and return File objects.
* Use clojure.java.io to access template resources which enables ezbake to be
  run from the git repository as a leiningen app OR as a plugin whose resources
  are stored in its jarfile.

(MAINT) Remove du",
morph.syn.embedded_question,commit:20f753585377ba72803e90b2ebb7e1d1c3ed58f4:commit_message,which,"(CPR-401) Require 'which'

We add the dependency specifically on '/usr/bin/which' to be flexible
with minimal installers which may provide functionality from different
packages.",
morph.syn.embedded_question,commit:6ebd2c49392409aa98271a240f13cb7290fc5277:commit_message,why,"(EZ-97) Add comment about $! to start script

This commit adds a comment about why $! is used in the start script.",
morph.syn.embedded_question,commit:1335712b5b2050f1348f0585d790bf3a7a59eda4:commit_message,if,"(SERVER-344) Choose best method to become puppet

Previously, only the su command was used to switch to the puppet user
and launch Puppet server in the foreground. This does not work on some
systems using SELinux. This commit attempts to use the runuser command
instead if it is installed and the user is running as root, otherwise
sudo or su is used.",
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:27:comment_body:26,when,"That makes sense. what is doing what when is confusing, but I don't think that's the fault of your pr :)",
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:42:title,if,systemd: Use restart counter to determine if service is started,
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:127:body,If,"#### Pull Request (PR) description

Handle pre-release versions

This commit updates the logic in  that handles the 
flag. If the flag matches a semver.org pre-release with ""alpha"", ""beta""
or ""rc"" as the pre-release identifier, then the ""-"" in the version
string is substituted for ""~"". That is, a version like  becomes
the following version in package metadata: 

This is done because the ",
morph.syn.embedded_question,commit:51411df6031bf512ce2949e59a7356cc2db4fcca:commit_message,when,"(PE-7614) Fix SLES-11 pe-puppetserver init script

Without this patch the pe-puppetserver service in PE fails to start on SLES-11.

The root cause of the issue is that the JAVA_ARGS string contains
sub-strings which are intended to be positional arguments.  Because the
complete string is used when invoking a command, BASH expands the string
into positional arguments without considering the inner q",
morph.syn.embedded_question,commit:9b3dfa8136dadadea5687551d27198f3b1a89b6e:commit_message,if,"Add JAVA_BIN to systemd service files

The EnvironmentFile paths are config locations so if a user ever
modified them, they're not replaced. By defining this in the service
file, the packaging will update the location. The result is that even
if a java location changes that a simple yum/apt upgrade will respect
the new value in most situations.

Signed-off-by: Tim Meusel <tim.de>",
morph.syn.embedded_question,commit:202807206051f9895e64e77384e98ba7d6385b71:commit_message,when,"Merge pull request #545 from underscorgan/maint/master/publish-container-readme

(maint) Publish container readme when new container is pushed",
morph.syn.embedded_question,commit:a174e60a8a2f4054e3aa27e7c6074c80765bf4d6:commit_message,if,"Update jvm-puppet version, config, and fix for no docs

* Update the jvm-puppet version that we're building to 0.1.0-SNAPSHOT
* Update the webserver config to something more like what JVM-puppet
  will actually need
* Fix bug in ezbake where it would crash if there were no docs in
  any of the upstream TK projects",
morph.syn.embedded_question,commit:5058547a76b650813c4b66008fc869a5cc62ca52:commit_message,when,"(PDB-663) Changes to make PuppetDB work with ezbake

These changes represent the changes required to make PuppetDB use ezbake.

* PuppetDB uses its own namespace for -main function execution, so a new
  parameter 'main-namespace' has been provided to customise a build for this
  case.
* We have the need for the /var/lib/puppetdb directory, so we've added an
  option to automatically create this on",
morph.syn.embedded_question,commit:90c6d546efcb441524422df17dc16d82e17b48eb:commit_message,when,"(maint) Pass MOCK and COW settings when running 

The generic ezbake jenkins jobs now have MOCKS and COWS parameters to
help with determining repo creation. We should make sure we're passing
local mock/cow values through so we create repos correctly.",
morph.syn.embedded_question,commit:7fcf76f7dd943e352d03c58f29c27bd93d520ee6:commit_message,where,"(EZ-15) Implement  project map key.

(EZ-15) Use current project's project.clj

This commit definitively breaks compatibility with running ezbake as an app in
the following ways:

* project.clj has been modified to be compatible with leiningen plugin
  development (no :main namespace, set :eval-in-leiningen true)
* The main function from src/puppetlabs/ezbake/core.clj has been supplanted
  entirel",
morph.syn.embedded_question,pr:OpenVoxProject/ezbake:22:body,If,"The  directory contains only two files:



Since https://github.com/OpenVoxProject/ezbake/pull/5, we don't package /usr/lib/tmpfiles.d/puppetserver.conf anymore. And the changelog.gz is autogenerated by fpm afterwards. That means that in our packaging directory, there is no . If we force fpm to package it, it will raise an error.

This change was tested in https://github.com/OpenVoxProject/o",
morph.syn.embedded_question,commit:c2cca478c4edcf15cd22700749ffa996668b7d74:commit_message,which,"Update PE RPM metadata to use public URL

This patch changes the URL used by the EZBake template for PE RPM spec files
from , which is not publicly accessible,
to , which matches the Homepage used by the template for
Debian control files.",
morph.syn.embedded_question,commit:18cb0cb2a17b70a7193c1992a76bd6bcb9503944:commit_message,where,"(maint) Cleanup in the rake task

Make sure artifacts are being staged in the correct directories for FOSS
and PE builds. Also, let's use packaging libraries where possible.",
