group,messages_sampled,messages_estimated,top_lang,top_lang_pct,en_pct,year_min,year_max,n_langs
gmane.linux.debian.devel.general,455,22750,en,98.9,98.9,2002,2019,4
gmane.comp.db.postgresql.general,441,22050,en,97.1,97.1,2002,2019,8
gmane.linux.kernel.mm,439,21950,en,99.8,99.8,2002,2019,2
gmane.comp.gcc.cvs,438,21900,en,82.0,82.0,2002,2019,12
gmane.linux.debian.devel.wnpp,437,21850,en,97.9,97.9,2002,2019,8
gmane.music.equipment.slimdevices.general,434,21700,en,99.5,99.5,2003,2018,3
gmane.linux.mandrake.bugs,428,21400,en,98.1,98.1,2007,2011,4
gmane.linux.debian.user.spanish,424,21200,es,92.7,1.9,2002,2019,12
gmane.comp.lang.go.general,421,21050,en,97.6,97.6,2009,2019,6
gmane.os.netbsd.devel.cvs,420,21000,en,99.8,99.8,2002,2019,2
gmane.linux.debian.user.french,415,20750,fr,92.0,3.6,2002,2019,15
gmane.comp.web.spip.user,413,20650,fr,97.6,0.2,2001,2019,5
gmane.comp.lang.smalltalk.squeak.general,410,20500,en,98.5,98.5,1998,2019,5
gmane.politics.marxism.marxmail,406,20300,en,91.9,91.9,2002,2018,5
gmane.comp.emulators.kvm.devel,405,20250,en,99.0,99.0,2006,2019,5
gmane.comp.gcc.patches,398,19900,en,98.7,98.7,2002,2019,6
gmane.comp.python.django.user,396,19800,en,98.5,98.5,2005,2019,4
gmane.linux.alsa.devel,388,19400,en,97.7,97.7,2002,2019,7
gmane.comp.freedesktop.xorg.drivers.intel,387,19350,en,96.6,96.6,2010,2019,9
gmane.linux.ubuntu.bugs.universe,383,19150,en,85.9,85.9,2005,2016,7
gmane.comp.jakarta.tomcat.devel,382,19100,en,93.5,93.5,2002,2019,12
gmane.comp.java.ide.netbeans.user,380,19000,en,97.4,97.4,2000,2018,6
gmane.comp.jakarta.struts.user,378,18900,en,98.1,98.1,2002,2017,8
gmane.comp.python.django.scm,376,18800,en,93.6,93.6,2007,2019,9
gmane.linux.kernel.wireless.general,375,18750,en,98.4,98.4,2007,2019,6
gmane.comp.sysutils.puppet.bugs,373,18650,UNKNOWN,71.8,28.2,2008,2019,2
gmane.os.openbsd.cvs,370,18500,en,93.2,93.2,2002,2019,11
gmane.comp.emulators.libvirt,368,18400,en,98.1,98.1,2006,2019,6
gmane.os.freebsd.current,364,18200,en,91.8,91.8,2002,2019,8
gmane.comp.gnome.mono.patches,360,18000,en,95.8,95.8,2002,2011,11
gmane.linux.frugalware.scm,354,17700,en,53.4,53.4,2007,2018,16
gmane.culture.region.india.goa,353,17650,en,94.1,94.1,2003,2018,4
gmane.comp.lib.wxwidgets.devel,352,17600,en,99.4,99.4,2000,2019,3
gmane.linux.ports.ppc64.devel,352,17600,en,98.9,98.9,2004,2019,5
gmane.linux.usb.general,349,17450,en,98.3,98.3,2007,2019,6
gmane.comp.lang.perl.perl5.porters,348,17400,en,98.0,98.0,2003,2019,8
gmane.linux.centos.general,343,17150,en,98.8,98.8,2004,2019,3
gmane.comp.lang.inug-4d.tech,340,17000,en,100.0,100.0,2003,2019,1
gmane.os.apple.macports.tickets,340,17000,en,95.9,95.9,2011,2019,9
gmane.science.linguistics.translation.russian,340,17000,ru,77.4,12.9,2002,2019,16
gmane.comp.emulators.ovirt.vdsm.patches,338,16900,en,100.0,100.0,2011,2017,1
gmane.os.cygwin,338,16900,en,96.7,96.7,2002,2019,9
gmane.comp.python.web2py,337,16850,en,96.4,96.4,2008,2019,9
gmane.linux.mandrake.cooker.cvs,337,16850,en,91.1,91.1,2003,2012,14
gmane.comp.openoffice.bugs,335,16750,en,97.9,97.9,2005,2011,3
gmane.linux.debian.devel.boot,335,16750,en,97.9,97.9,2002,2019,6
gmane.comp.version-control.git,330,16500,en,99.7,99.7,2005,2010,2
gmane.network.tor.cvs,330,16500,en,89.4,89.4,2006,2019,18
gmane.comp.jakarta.commons.devel,329,16450,en,94.5,94.5,2002,2019,9
gmane.comp.python.devel,328,16400,en,98.8,98.8,1999,2019,5
gmane.comp.lang.javascript.v8.devel,323,16150,en,74.3,74.3,2008,2019,13
gmane.mail.spam.spamassassin.general,323,16150,en,99.7,99.7,2002,2019,2
gmane.network.samba.general,322,16100,en,98.4,98.4,2002,2017,5
gmane.linux.suse.opensuse.scm,320,16000,en,99.1,99.1,2011,2019,3
gmane.comp.emulators.wine.patches,317,15850,en,83.3,83.3,2002,2017,11
gmane.comp.handhelds.openembedded.scm,316,15800,en,94.6,94.6,2008,2019,12
gmane.linux.ubuntu.bugs.kubuntu,314,15700,en,83.4,83.4,2005,2018,7
gmane.linux.ubuntu.devel.kernel.bugs,311,15550,en,86.2,86.2,2005,2010,7
gmane.emacs.bugs,309,15450,en,95.5,95.5,2002,2019,7
gmane.comp.handhelds.maemo.extras-cauldron.builds,308,15400,en,100.0,100.0,2008,2015,1
gmane.os.opendarwin.webkit.scm,308,15400,UNKNOWN,99.7,0.3,2011,2019,2
gmane.emacs.diffs,306,15300,en,87.6,87.6,2002,2019,12
gmane.org.operators.nanog,306,15300,en,99.7,99.7,2002,2019,2
gmane.comp.cms.sakai.scm,305,15250,en,95.1,95.1,2007,2014,10
gmane.linux.ports.arm.omap,304,15200,en,99.0,99.0,2005,2019,4
gmane.comp.cms.nuxeo.qa,301,15050,UNKNOWN,61.1,16.9,2007,2019,9
gmane.comp.documentfoundation.libreoffice.scm,301,15050,en,94.7,94.7,2011,2019,8
gmane.linux.debian.devel.perl.scm,301,15050,en,100.0,100.0,2014,2018,1
gmane.comp.lang.groovy.grails.user,298,14900,en,98.3,98.3,2006,2014,4
gmane.culture.publications.pcplus.indonesia,298,14900,id,91.9,3.0,2004,2014,11
gmane.comp.web.zope.plone.collective.cvs,297,14850,en,91.9,91.9,2003,2013,12
gmane.linux.file-systems,296,14800,en,97.6,97.6,2002,2019,7
gmane.linux.ubuntu.bugs.server,296,14800,en,85.5,85.5,2008,2019,8
gmane.comp.db.foxpro.profox,295,14750,en,97.6,97.6,2006,2019,6
gmane.org.google.api.maps,295,14750,en,96.9,96.9,2006,2012,5
gmane.org.wikimedia.wikidata.bugs,294,14700,UNKNOWN,52.4,45.9,2014,2019,6
gmane.editors.lyx.devel,293,14650,en,98.6,98.6,2003,2019,2
gmane.linux.debian.user.italian,293,14650,it,92.5,5.5,2002,2018,8
gmane.org.user-groups.python.chinese,290,14500,zh-cn,53.8,11.7,2009,2018,24
gmane.linux.altlinux.community,288,14400,ru,89.9,2.8,2004,2018,12
gmane.comp.jakarta.lucene.solr.user,287,14350,en,99.0,99.0,2007,2019,4
gmane.comp.version-control.subversion.devel,287,14350,en,99.0,99.0,2002,2019,4
