group,messages_sampled,messages_estimated,top_lang,top_lang_pct,en_pct,year_min,year_max,n_langs
gmane.linux.kernel,5117,255850,en,98.8,98.8,2002,2019,23
gmane.comp.kde.devel.bugs,3816,190800,en,81.8,81.8,2002,2019,25
gmane.linux.debian.devel.bugs.general,3033,151650,en,97.9,97.9,2002,2019,23
gmane.os.freebsd.devel.pkg-fallout,2349,117450,en,99.2,99.2,2013,2019,2
gmane.linux.gentoo.cvs,2036,101800,en,82.1,82.1,2003,2019,26
gmane.comp.python.general,1391,69550,en,98.6,98.6,1999,2019,10
gmane.linux.ports.arm.kernel,1371,68550,en,98.7,98.7,2002,2019,15
gmane.linux.kernel.commits.head,1366,68300,en,96.6,96.6,2002,2018,14
gmane.comp.compilers.llvm.cvs,1213,60650,en,95.8,95.8,2005,2019,16
gmane.org.wikimedia.mediawiki.cvs,1211,60550,en,91.3,91.3,2004,2018,13
gmane.user-groups.linux.czech,1187,59350,cs,68.5,2.6,2004,2019,20
gmane.comp.gcc.bugs,1177,58850,en,80.5,80.5,2002,2019,21
gmane.comp.documentfoundation.libreoffice.bugs,1166,58300,en,81.0,81.0,2011,2019,13
gmane.comp.emulators.qemu,1156,57800,en,97.7,97.7,2004,2019,12
gmane.os.freebsd.devel.cvs,1141,57050,en,93.9,93.9,2002,2019,15
gmane.comp.web.chromium.bugs,1137,56850,en,99.4,99.4,2008,2013,5
gmane.comp.kde.bugs,1136,56800,en,85.8,85.8,2008,2011,13
gmane.linux.network,1136,56800,en,97.9,97.9,2002,2019,12
gmane.linux.debian.devel.bugs.rc,1101,55050,en,99.0,99.0,2003,2019,7
gmane.org.wikimedia.mediawiki.bugs,1038,51900,en,71.2,71.2,2004,2014,15
gmane.linux.debian.user,1036,51800,en,97.3,97.3,2002,2019,14
gmane.linux.mageia.packages.scm,1034,51700,en,93.5,93.5,2011,2019,14
gmane.linux.arch.scm,1017,50850,en,89.9,89.9,2009,2019,18
gmane.linux.debian.devel.changes.unstable,1006,50300,en,64.9,64.9,2003,2019,25
gmane.comp.emulators.wine.bugs,996,49800,en,89.3,89.3,2002,2019,11
gmane.comp.gcc.test-results,992,49600,en,92.0,92.0,2001,2019,6
gmane.comp.gnome.svn,988,49400,en,89.1,89.1,2014,2019,26
